id,capability_id,use_case_id,cluster_id,pathway,relevance_band,defence_relevance,suggested_action_type,action_note,why_it_matters,reviewer_override_delta,evidence_strength,actionability_score,last_signal_at,stale_after_days,data_stage,source_confidence,research_rationale,source_batch_id
cuc-11,capability-11,use-case-1,cluster-2,validate,medium,medium,connect_to_end_user_validation,Useful when broad-area change detection is missing,Surfaces wide-area change across remote corridors where local sensors are sparse or too costly to place densely,-1,5,5,2026-02-25T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-12,capability-12,use-case-1,cluster-4,build,low,low,monitor_for_later_stage_engagement,Monitor until endurance and autonomy are proven,Supports route scouting near austere sites where crews cannot repeatedly survey snow and ice corridors by hand,-3,3,0,2025-11-19T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-13,capability-13,use-case-1,cluster-4,validate,low,low,explore_testbed_inclusion,Best for temporary coverage rather than persistent watch,Creates short-term sensing coverage during field exercises when permanent installations are not justified,-2,3,0,2026-01-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-14,capability-14,use-case-1,cluster-1,validate,high,high,connect_to_end_user_validation,Strong passive option for contested sensing trials,Adds non-emitting detection along remote approaches where active radar would reveal the watch position,1,5,5,2026-02-10T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-15,capability-15,use-case-1,cluster-5,validate,high,high,introduce_to_integrator,Best fit as the local software backbone inside larger Arctic stacks,Keeps local awareness tools usable during comms loss when remote teams cannot depend on cloud connectivity,0,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-16,capability-16,use-case-1,cluster-7,build,low,medium,monitor_for_later_stage_engagement,Monitor until docking and recovery hold up in harsh weather,Addresses unmanned endurance gaps but still depends on cold-weather recovery and docking validation,-3,3,0,2025-10-22T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-17,capability-17,use-case-1,cluster-2,scale,high,high,assess_procurement_relevance,Clear fit for route monitoring programs and near-term procurement,Gives planners repeatable route risk coverage across vast Arctic corridors where local surveillance is sparse,2,5,5,2026-03-10T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-18,capability-18,use-case-1,cluster-2,validate,medium,high,connect_to_end_user_validation,Useful for austere site security rather than wide-area watch,Provides rapid watch at temporary sites where fixed towers and hardened infrastructure are unavailable,-1,3,5,2026-01-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-19,capability-19,use-case-1,cluster-7,validate,low,medium,assess_funding_fit,Enablement layer worth supporting only with a paired sensing plan,Extends node endurance at remote sites where fuel resupply and generator maintenance are difficult,-2,3,0,2026-02-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-20,capability-20,use-case-1,cluster-6,validate,high,high,explore_testbed_inclusion,Strong expeditionary networking option for temporary monitoring sites,Creates resilient local networking at temporary Arctic sites where units arrive before fixed communications do,1,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-21,capability-2,use-case-2,cluster-6,scale,high,medium,assess_procurement_relevance,Strong ready-now relay for distributed sensing networks,Gives sparse sensing grids a field-ready backhaul option where winter conditions block fixed infrastructure,2,5,5,2026-02-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-22,capability-3,use-case-2,cluster-5,scale,high,medium,introduce_to_integrator,Use as the integration layer for wider network pilots,Unifies radar acoustic and edge feeds so distributed sensing programs can operate from one workflow,1,5,5,2026-02-20T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-23,capability-4,use-case-2,cluster-6,validate,medium,medium,monitor_for_later_stage_engagement,Relevant when network contention is the core problem,Keeps essential alerts moving across degraded links when full-fidelity transport is unrealistic,-1,3,0,2026-01-30T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-24,capability-7,use-case-2,cluster-5,validate,high,medium,connect_to_end_user_validation,Validate with operators who need alert triage across many nodes,Cuts analyst burden by prioritising anomalies across dispersed sensors that no single operator can watch continuously,0,5,5,2026-03-21T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-25,capability-10,use-case-2,cluster-6,validate,high,high,connect_to_end_user_validation,Good candidate for long-corridor relay trials,Extends remote coastal sensing into one corridor-scale network where local links would otherwise stay isolated,1,5,5,2026-03-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-26,capability-11,use-case-2,cluster-2,validate,medium,low,monitor_for_later_stage_engagement,Use when broad-area change detection matters more than site persistence,Adds overhead change review across remote sectors where distributed sensor density is still limited,-1,3,0,2026-02-25T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-27,capability-15,use-case-2,cluster-5,scale,high,high,assess_procurement_relevance,Ready software backbone for resilient distributed sensing,Keeps local mission tools running when network nodes lose backhaul and cannot depend on cloud services,2,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-28,capability-19,use-case-2,cluster-7,validate,medium,medium,assess_funding_fit,Support as infrastructure only when network rollout is already planned,Sustains dispersed sensor nodes where fuel-heavy field power creates the main reliability bottleneck,-1,3,0,2026-02-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-29,capability-20,use-case-2,cluster-6,validate,high,high,explore_testbed_inclusion,Strong mesh option for pop-up distributed sensing sites,Creates local resilience between sensors and operators when sites are established faster than fixed comms can follow,1,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-30,capability-1,use-case-3,cluster-1,validate,high,high,connect_to_end_user_validation,Best subsea sensing candidate for near-term operator trials,Provides passive underwater detection in approaches where surface and overhead ISR lose persistence under ice,2,5,5,2026-03-15T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-31,capability-2,use-case-3,cluster-6,validate,high,medium,explore_testbed_inclusion,Relay coverage matters when underwater assets report from remote ice margins,Keeps subsea monitoring nodes connected where underwater ISR loses value without reliable exfiltration paths,0,5,5,2026-02-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-32,capability-5,use-case-3,cluster-3,validate,high,high,connect_to_end_user_validation,Highest upside underwater platform if paired with realistic field trials,Adds under-ice patrol reach where crewed systems cannot sustain presence or safely recover data,1,3,5,2025-12-11T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-33,capability-6,use-case-3,cluster-3,validate,high,high,explore_testbed_inclusion,Most direct subsea payload for underwater ISR experimentation,Maps ice-edge and subsurface anomalies during unmanned patrols where fixed arrays cannot explain movement alone,1,3,5,2026-02-08T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-34,capability-10,use-case-3,cluster-6,validate,medium,high,connect_to_end_user_validation,Relay is enabling but secondary to platform performance in this Use Case,Moves subsea ISR traffic ashore when remote patrol areas sit beyond existing communications coverage,-1,5,5,2026-03-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-35,capability-14,use-case-3,cluster-1,validate,high,high,connect_to_end_user_validation,Passive RF option for low-signature approach monitoring,Detects emitters along remote maritime approaches where active sensing would expose the watch position,1,5,5,2026-02-10T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-36,capability-15,use-case-3,cluster-5,validate,medium,high,introduce_to_integrator,Useful as the local software layer once subsea feeds arrive,Provides a disconnected mission backbone for underwater ISR teams that cannot rely on cloud-hosted tools,0,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-37,capability-16,use-case-3,cluster-7,build,medium,medium,monitor_for_later_stage_engagement,Support concept matters later once unmanned endurance is proven,Could extend unmanned subsea persistence but still depends on harsh-weather docking and recovery validation,-2,3,0,2025-10-22T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-38,capability-5,use-case-4,cluster-3,validate,high,high,explore_testbed_inclusion,Lead maritime patrol platform for harder field evaluation,Provides unmanned patrol reach below ice and beyond crew endurance limits in austere waters,1,3,5,2025-12-11T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-39,capability-6,use-case-4,cluster-3,validate,medium,medium,connect_to_end_user_validation,Adds payload value once patrol platforms are already in play,Improves unmanned patrol usefulness by adding ice-edge and anomaly mapping during vehicle missions,0,3,5,2026-02-08T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-40,capability-12,use-case-4,cluster-4,build,high,medium,monitor_for_later_stage_engagement,Most relevant ground patrol concept but still clearly early stage,Offers over-snow scouting near austere sites where crews need route awareness without exposing people,-1,3,0,2025-11-19T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-41,capability-13,use-case-4,cluster-4,validate,medium,low,explore_testbed_inclusion,Useful for short patrol campaigns rather than persistent autonomy,Creates temporary route survey coverage when teams need a rapid field sensor package not a full patrol program,-2,3,0,2026-01-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-42,capability-15,use-case-4,cluster-5,validate,high,high,introduce_to_integrator,Strong control layer for mixed autonomous patrol fleets,Keeps patrol tools and local awareness available during backhaul loss when operators still need mission control,1,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-43,capability-16,use-case-4,cluster-7,build,medium,medium,monitor_for_later_stage_engagement,Important sustainment concept but not yet a near-term engagement priority,Targets endurance and recharge gaps that limit persistent autonomous patrol but still lacks real operational proof,-2,3,0,2025-10-22T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-44,capability-18,use-case-4,cluster-2,validate,medium,medium,connect_to_end_user_validation,Good temporary patrol overwatch option around austere sites,Adds rapid watch coverage for short campaigns where a deployable mast is enough and persistence demands are lower,-1,3,5,2026-01-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-45,capability-20,use-case-4,cluster-6,validate,high,high,explore_testbed_inclusion,Useful networking layer for temporary patrol teams and sensors,Creates local comms resilience for dispersed patrol teams when operations begin before fixed network support exists,1,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-46,capability-3,use-case-5,cluster-5,scale,high,medium,assess_procurement_relevance,Best immediate integration option for local edge decision-making,Fuses remote sensing feeds into one operator picture when backhaul cannot support separate cloud tools,2,5,5,2026-02-20T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-47,capability-4,use-case-5,cluster-6,validate,medium,medium,assess_funding_fit,Worth testing where bandwidth control blocks edge workflows,Preserves mission-critical data when constrained links cannot carry every edge-generated product,-1,3,0,2026-01-30T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-48,capability-7,use-case-5,cluster-5,scale,high,high,assess_procurement_relevance,Top near-term analytics engagement for edge decision support,Flags high-value anomalies locally so analysts can act without reviewing every raw feed by hand,3,5,5,2026-03-21T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-49,capability-9,use-case-5,cluster-5,validate,high,medium,connect_to_end_user_validation,Strong edge decision aid where route calls matter,Turns local radar observations into route decisions when operators need immediate recommendations not delayed analysis,1,3,5,2026-02-14T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-50,capability-11,use-case-5,cluster-2,validate,medium,low,monitor_for_later_stage_engagement,Useful adjunct for wide-area context not the core edge stack,Adds overhead change detection that complements edge analytics but does not replace local decision software,-2,3,0,2026-02-25T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-51,capability-15,use-case-5,cluster-5,scale,high,high,assess_procurement_relevance,Best software backbone for disconnected edge operations,Keeps local mission applications working when edge teams lose cloud access and still need coordinated decisions,2,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-52,capability-17,use-case-5,cluster-2,validate,medium,medium,connect_to_end_user_validation,Satellite context strengthens edge decisions over wide corridors,Adds route and vessel context that helps local teams prioritise action across large remote operating areas,0,5,5,2026-03-10T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-53,capability-20,use-case-5,cluster-6,validate,medium,medium,explore_testbed_inclusion,Good networking layer for distributed edge teams,Creates the local communications fabric that edge software depends on when sites are stood up quickly,0,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-54,capability-2,use-case-6,cluster-6,scale,high,medium,assess_procurement_relevance,One of the clearest near-term comms resilience engagements,Maintains offshore connectivity where expeditionary teams cannot rely on fixed relay infrastructure during winter operations,2,5,5,2026-02-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-55,capability-3,use-case-6,cluster-5,validate,medium,medium,introduce_to_integrator,Use when resilient communications must still feed one local picture,Brings fragmented remote feeds together so degraded networks still produce one usable operating view,0,5,5,2026-02-20T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-56,capability-4,use-case-6,cluster-6,validate,high,medium,connect_to_end_user_validation,Relevant when link prioritisation is the main comms resilience challenge,Ensures the most important data survives when austere links cannot carry the full mission load,1,3,5,2026-01-30T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-57,capability-10,use-case-6,cluster-6,scale,high,high,assess_procurement_relevance,Best long-corridor comms candidate for expeditionary deployments,Backhauls remote sensing traffic across austere coastlines where permanent network buildout is unrealistic,2,5,5,2026-03-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-58,capability-15,use-case-6,cluster-5,validate,medium,high,introduce_to_integrator,Software still matters when networks degrade,Keeps mission tools usable during comms loss so resilient networking failure does not become mission failure,1,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-59,capability-18,use-case-6,cluster-2,validate,medium,low,monitor_for_later_stage_engagement,Local watch helps expeditionary teams but is not the main comms answer,Supports temporary site awareness but does not solve resilience without stronger network and power layers,-2,3,0,2026-01-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-60,capability-19,use-case-6,cluster-7,validate,medium,medium,assess_funding_fit,Power matters when resilient comms must last through long field windows,Sustains relay and network nodes where low-sun deployments make fuel-heavy support difficult,0,3,0,2026-02-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-61,capability-20,use-case-6,cluster-6,scale,high,high,assess_procurement_relevance,Fastest local networking option for temporary expeditionary sites,Creates resilient local connectivity when units arrive before fixed communications and need a working network immediately,2,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-62,capability-3,use-case-7,cluster-5,validate,high,medium,introduce_to_integrator,Use as the operating picture layer for cyber resilient remote missions,Keeps sensor feeds and alerts usable when remote mission networks need local continuity under disruption,0,5,5,2026-02-20T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-63,capability-4,use-case-7,cluster-6,validate,high,high,connect_to_end_user_validation,Strong fit for testing mission traffic prioritization during network stress,Protects mission critical data flows when degraded links or contested bandwidth threaten remote operations,2,3,5,2026-01-30T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-64,capability-7,use-case-7,cluster-5,scale,high,high,assess_procurement_relevance,Best near term analytics candidate for cyber aware mission triage,Flags anomalous vessel and sensor patterns so operators can prioritize incidents by mission impact instead of raw alert volume,3,5,5,2026-03-21T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-65,capability-15,use-case-7,cluster-5,scale,high,high,assess_procurement_relevance,Strongest disconnected software backbone for mission assurance,Keeps local applications available when cloud access or backhaul disruption would otherwise halt remote operations,3,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-66,capability-20,use-case-7,cluster-6,validate,medium,medium,explore_testbed_inclusion,Useful communications layer for cyber resilient field networks,Creates local network continuity for temporary sites but still needs validation against mission assurance workflows,0,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-67,capability-2,use-case-8,cluster-6,scale,high,medium,assess_procurement_relevance,Relay buoy supports sustainment by reducing staffed site dependency,Keeps offshore sensing systems connected through winter conditions when crewed relay support is costly or unavailable,1,5,5,2026-02-27T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-68,capability-10,use-case-8,cluster-6,scale,high,high,assess_procurement_relevance,Best long corridor relay candidate for sustainment constrained operations,Backhauls mission traffic across remote coastlines without waiting for permanent infrastructure buildout,2,5,5,2026-03-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-69,capability-16,use-case-8,cluster-7,build,medium,medium,monitor_for_later_stage_engagement,Important support concept but still too early for near term delivery,Targets unmanned system recharge and recovery gaps that limit patrol endurance but requires more operational proof,0,3,0,2025-10-22T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-70,capability-19,use-case-8,cluster-7,validate,high,medium,assess_funding_fit,Power layer has direct sustainment value for remote sensor sites,Extends node endurance where fuel resupply and generator maintenance create field bottlenecks,1,3,5,2026-02-04T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-71,capability-20,use-case-8,cluster-6,validate,high,high,explore_testbed_inclusion,Useful local network package for rapid northern standup,Creates resilient local connectivity for temporary force packages before fixed infrastructure exists,1,5,5,2026-03-18T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
cuc-72,capability-15,use-case-8,cluster-5,validate,medium,high,introduce_to_integrator,Disconnected software helps sustain the mission once support links degrade,Keeps local coordination tools available when sustainment and communications disruptions would otherwise slow operations,1,5,5,2026-03-28T00:00:00.000Z,180,scaffold,needs_validation,Synthetic scaffold mapping used for workflow validation; replace with public-source research before BD validation.,
pilot-cuc-kraken-katfish-underwater-isr,pilot-capability-kraken-katfish-sas,use-case-3,cluster-1,scale,high,high,assess_procurement_relevance,Assess where high-resolution towed SAS can support undersea awareness or seabed survey needs without implying a specific procurement target.,High-resolution towed SAS can help operators characterize underwater areas where persistent undersea awareness and seabed context are operationally valuable.,0,5,5,2025-12-02T00:00:00.000Z,180,validated,high,Product evidence and recent order evidence make this a strong candidate for review in underwater ISR.,pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-kraken-katfish-arctic-awareness,pilot-capability-kraken-katfish-sas,use-case-1,cluster-1,validate,medium,high,connect_to_end_user_validation,Validate Arctic operating assumptions before treating towed SAS as a northern awareness solution.,The capability could support Arctic maritime awareness where undersea survey and detection gaps need source-backed validation in northern conditions.,0,3,5,2025-12-02T00:00:00.000Z,180,validated,moderate,"Technology fit is strong, but Arctic-specific employment should stay validation-led until field evidence is added.",pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-mda-chorus-arctic-awareness,pilot-capability-mda-chorus-sar,use-case-1,cluster-2,scale,high,high,introduce_to_integrator,"Review as an overhead sensing layer for fusion with maritime, acoustic, and local operator data.",All-weather SAR observation can strengthen Arctic awareness by adding persistent overhead context where weather and distance limit other collection methods.,0,5,5,,180,validated,high,Official SAR constellation evidence and public maritime awareness contract context make this a strong Arctic awareness candidate.,pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-cellula-envoy-underwater-isr,pilot-capability-cellula-envoy-auv,use-case-3,cluster-3,validate,high,medium,connect_to_end_user_validation,"Validate endurance, communications, recovery, and payload integration assumptions with relevant underwater operators.","A long-endurance AUV can extend underwater survey and patrol reach, but mission value depends on validated payloads, recovery concepts, and operating conditions.",0,3,5,,180,validated,moderate,"The AUV evidence is credible, but defence relevance should remain medium until more mission-specific evidence is collected.",pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-kongsberg-iris-autonomous-patrol,pilot-capability-kongsberg-iris-terminal,use-case-4,cluster-5,scale,high,medium,explore_testbed_inclusion,Evaluate as a test-range or field-trial visualization layer for uncrewed patrol operations.,"Autonomous patrol trials need reliable local awareness and deconfliction, especially when multiple telemetry and sensor feeds must be interpreted together.",0,5,5,,180,validated,high,Official product evidence clearly supports uncrewed system visualization and BVLOS awareness.,pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-kongsberg-iris-edge-data,pilot-capability-kongsberg-iris-terminal,use-case-5,cluster-5,scale,medium,medium,introduce_to_integrator,Review as a mission display layer that could complement edge fusion rather than replace broader C2 integration.,"A common visualization layer can reduce operator burden when telemetry, sensor, and airspace context would otherwise be split across separate tools.",0,5,5,,180,validated,moderate,"Fit to edge data processing is plausible but should be reviewed as an integration support capability, not a full data platform.",pilot-arctic-domain-awareness-2026-04-24
pilot-cuc-geospectrum-traps-underwater-isr,pilot-capability-geospectrum-traps,use-case-3,cluster-1,scale,high,high,assess_procurement_relevance,"Assess platform fit for ships of opportunity, patrol vessels, or uncrewed surface platforms.",Compact active-passive sonar can add underwater target detection and tracking to platforms that need persistent awareness without large dedicated sonar suites.,0,5,5,,180,validated,high,Official TRAPS evidence directly supports underwater surveillance and target localization.,pilot-arctic-domain-awareness-2026-04-24
