id,source_type,title,url,publisher,published_at
source-policy-2,departmental_plan,2026-27 Departmental Plan,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-plans/departmental-plan-2026-27.html,Department of National Defence,
source-policy-3,government_strategy,National Cyber Security Strategy,https://www.canada.ca/en/public-safety-canada/news/2025/02/canadas-new-national-cyber-security-strategy.html,Public Safety Canada,2025-02-06T00:00:00.000Z
source-policy-4,government_strategy,Canada Defence Industrial Strategy,https://www.canada.ca/en/department-national-defence/corporate/reports-publications/industrial-strategy/security-sovereignty-prosperity.html,Department of National Defence,2026-02-17T00:00:00.000Z
source-policy-5,government_policy,Canada Arctic Foreign Policy,https://international.canada.ca/en/global-affairs/corporate/reports/arctic-policy-2024,Global Affairs Canada,
source-policy-6,nato_policy,NATO Rapid Adoption Action Plan,https://www.nato.int/en/about-us/official-texts-and-resources/official-texts/2025/06/25/summary-of-natos-rapid-adoption-action-plan,NATO,2025-06-25T00:00:00.000Z
source-policy-7,nato_policy,NATO 2022 Strategic Concept,https://www.nato.int/en/about-us/official-texts-and-resources/strategic-concepts/nato-2022-strategic-concept,NATO,2022-06-29T00:00:00.000Z
pilot-source-kraken-katfish,company_website,KATFISH Towed SAS,https://www.krakenrobotics.com/products/katfish,Kraken Robotics,
pilot-source-kraken-sas-orders,company_news,Kraken Robotics Announces Orders For Synthetic Aperture Sonar And Subsea Batteries,https://www.krakenrobotics.com/news-releases/kraken-robotics-announces-12-million-in-orders-for-synthetic-aperture-sonar-and-subsea-batteries/,Kraken Robotics,2025-12-02T00:00:00.000Z
pilot-source-mda-chorus,company_website,MDA CHORUS,https://mda.space/chorus/,MDA Space,
pilot-source-mda-maritime-awareness-contract,industry_news,Government Of Canada Extends MDA Space Contract Providing Continuous Space-Based Maritime Awareness And Security,https://www.prnewswire.com/news-releases/government-of-canada-extends-mda-space-contract-providing-continuous-space-based-maritime-awareness-and-security-302493532.html,PR Newswire,
pilot-source-cellula-envoy,company_website,Envoy AUV,https://cellula.com/envoy-auv/,Cellula Robotics,
pilot-source-kongsberg-iris,company_website,IRIS Terminal,https://www.kongsberggeospatial.com/products/iris-terminal,Kongsberg Geospatial,
pilot-source-geospectrum-traps,company_website,TRAPS Towed Reelable Active Passive Sonar,https://geospectrum.ca/catalog/defence/surface-systems/traps-towed-reelable-active-passive-sonar/,GeoSpectrum Technologies,
pilot-source-open-ocean-robotics,company_website,Open Ocean Robotics,https://www.openoceanrobotics.com/,Open Ocean Robotics,
pilot-source-open-ocean-security-system,industry_news,GSTS And Open Ocean Robotics Unveil NextGen Autonomous Maritime Security System,https://oceannews.com/news/defense/gsts-and-open-ocean-robotics-unveil-nextgen-autonomous-maritime-security-system/,Ocean News and Technology,
